기업명,대표자명,공고 키워드,이메일,홈페이지,출처
(주)전북도민일보,신효균,비서,snsdomin@daum.net,http://www.domin.co.kr,saramin
(주)스트락스건축사사무소,문혁주,비서,recruit@strx.kr,http://strx.kr,saramin
엠케이에스코리아(유),이윤환,과제비 관리,webfeedback@newport.com,http://www.mks.com,saramin
(주)에이디티,김상태,과제비 관리,sales@adigitec.com,http://www.adigitec.com,saramin
(주)오리온,이승준,과제비 관리,orionir@orionworld.com,http://www.orionworld.com,saramin
(주)원일티엔아이,이정빈/이승준,과제비 관리,wonil@woniltni.co.kr,http://www.woniltni.co.kr,saramin
(주)엔젤로보틱스,조남민,정부지원사업 관리,contact@angel-robotics.com,http://angel-robotics.com/kr/,saramin
(주)코눈,조용진,정부지원사업 관리,jh.seo@conoon.co.kr,http://www.conoon.co.kr,saramin
(주)인투알,백은기,정부지원사업 관리,sales@intor.kr,http://www.intor.kr,saramin
(주)노보메디슨,고영일/이명세,정부지원사업 관리,support@nobomedicine.com,http://www.nobomedicine.com,saramin
(주)이노스페이스,김수종,정부지원사업 관리,innospace@innospc.com,http://www.innospc.com,saramin
포항공과대학교산학협력단,김종규,연구비 관리,webmaster@postech.ac.kr,https://www.postech.ac.kr/,saramin
우석대학교산학협력단,정희석,연구비 관리,jhkim@woosuk.ac.kr,http://www.woosuk.ac.kr,saramin
동국대학교산학협력단,강규영,연구비 관리,dgugs@dongguk.edu,http://rnd.dongguk.edu/,saramin
(주)한국클라우드,김현겸,연구비 관리,helpdesk@hkcloud.co.kr,http://www.hkcloud.co.kr/,saramin
(주)서울랜드,신상철/최형기,인사,7811young@naver.com,http://www.seoulland.co.kr,saramin
(주)엠씨넥스,민동욱,인사,ijsong@mcnex.com,http://www.mcnex.com,saramin
(주)오리엔트바이오,장재진,인사,joohong.park@orient.co.kr,http://www.orientbio.co.kr,saramin
(주)디티케이,김형우,인사,business@dibt.co.kr,http://www.dtk-world.com,saramin
(주)메가센,박노선/박진,인사,insa@megasen.co.kr,http://www.megasen.co.kr,saramin
(주)디엠씨미디어,이준희,인사,noreply.dmc.website@gmail.com,http://www.dmcmedia.co.kr,saramin
대륙금속(주),박수복,인사,daelyuk@daelyuk.com,http://www.daelyuk.com,saramin
(주)티모넷,박진우,인사,tmonetb@t-monet.com,http://www.t-monet.com,saramin
교촌에프앤비㈜,송종화,경영지원,privacy@kyochon.com,http://www.kyochonfnb.com/,jobkorea
모나용평㈜,박인준,경영지원,ypcard@yongpyong.co.kr,http://www.yongpyong.co.kr,jobkorea
㈜디알젬,박정병,경영지원,sales@drgemhealthcare.com,http://www.drgemhealthcare.com,jobkorea
㈜주아코리아,이동우,경리,info@jooakorea.com,http://www.jooakorea.com,jobkorea
㈜에이엔디,이재춘,경리,contactform@andk.co.kr,http://www.andk.co.kr,jobkorea
㈜대승,김장송/정세민/윤기옥/이승후,총무,kjh@dae-seung.co.kr,http://www.dae-seung.co.kr,jobkorea
한국자동차진단보증협회,정욱,비서,kaiwa@kaiwa.org,http://www.kaiwa.org,jobkorea
㈜구름네트웍스,조성일,과제비 관리,contact@gurum.cc,http://gurum.cc,jobkorea
미라텍㈜,백원인,과제비 관리,yhcho@miratek.co.kr,http://www.miratek.co.kr,jobkorea
(주)메디코어,박지용,정부지원사업 관리,ddlook0114@naver.com,http://medicore-mall.com/,jobkorea
콜로세움코퍼레이션,박진수,정부지원사업 관리,support@colosseum.kr,https://colosseum.kr/,jobkorea
지멘스헬시니어스㈜,이명균,연구비 관리,csirt@siemens-healthineers.com,http://www.siemens-healthineers.com/kr/,jobkorea
한국상하수도협회,유정복,연구비 관리,2025@swr.or.kr,http://www.kwwa.or.kr,jobkorea
㈜파리크라상,도세호,인사,baekih1001@spc.co.kr,http://www.pariscroissant.co.kr,jobkorea
킨코스코리아㈜,박정수,인사,hyunsook.seo@kinkos.co.kr,http://www.kinkos.co.kr,jobkorea
지엠비코리아㈜,정세영/송병영,인사,amsales@gmb.co.kr,http://www.gmb.co.kr,jobkorea
엠서클,정윤미/이찬란,인사,answer@mcircle.biz,https://www.mcircle.co.kr/,jobkorea
어크로스비,이성우,총무,contact@acrossb.net,http://www.acrossb.net/,wanted
크라우드웍스,김광일,인사,contact@crowdworks.ai,http://www.crowdworks.kr,wanted
(주)오픈,이재윤/홍성철,경영지원,open@openine.com,https://openine.com,saramin
(주)이피아,임만순,경영지원,0415475210@epia.kr,http://www.epia.kr,saramin
(주)오리오,,경영지원,cs@htcgroups.com,https://www.frogstore.co.kr,saramin
(주)키스인터내셔날,최경아,경영지원,support@cre.ma,https://keyth.co.kr/,saramin
에스팀학술연구소(주),이병찬,경영지원,iam@estimer.kr,http://estimer.kr,saramin
씨케이브릿지(주),홍성용,경영지원,info@ckbridge.co.kr,http://www.ckbridge.co.kr,saramin
(주)웨니테크,임동원,경영지원,info@wenitech.com,http://wenitech.com,saramin
(주)디지베이스,강대영/이상국,경영지원,support@digibase.co.kr,http://www.digibase.co.kr,saramin
(주)하이퍼로직,김종호,경영지원,support@hyperlogic.co.kr,http://www.hyperlogic.co.kr,saramin
(주)진양정밀,이명수/최현수,경영지원,oilseal@jy-oilseal.com,https://www.jy-oilseal.com/,saramin
(주)엔오엔,,경리,sales.kr@dr-clo.com,http://www.drclo.com,saramin
(주)우리종합계측기,,경리,lee@hitester.co.kr,http://www.hitester.co.kr,saramin
(주)네잎클로버벤쳐스,이상웅,경리,sample@sample.com,http://simplepharmacy.co.kr,saramin
(주)아이메디,장길남,경리,imedicolor@gmail.com,http://imedicolor.com/kr/,saramin
(주)참코청하,정석봉,총무,chungha@fishcutter.co.kr,http://www.chamco.co.kr,saramin
(주)우정바이오,문병석,총무,crowise@woojungbio.kr,http://www.woojungbio.kr/,saramin
(주)이노켐,김환,총무,yangsan@inochem.co.kr,http://www.inochem.co.kr,saramin
(주)에스와이에스홀딩스,김민우,총무,lhw@etland.co.kr,http://www.i-etland.co.kr,saramin
(주)한세,이재활,총무,tube@hansaeglobal.com,http://www.hansaeglobal.com,saramin
(주)두원전자통신,이상석,총무,doowon@doowoninc.com,http://www.doowoninc.com,saramin
대한철강(주),박남규/박종구,총무,dh7976400@naver.com,http://www.daehansteel.co.kr,saramin
영일특장(주),박종선,총무,d@x.ah,http://www.youngiltech.co.kr,saramin
한국썸벧(주),김달중,총무,info@netra.kr,http://www.thumbvet.co.kr/,saramin
(주)커뮤니케이션앤컬처,맹서현,총무,support@cre.ma,http://www.slim9.co.kr,saramin
한살림성남용인소비자생활협동조합,박선경,총무,hslsy@hansalim.or.kr,http://sy.hansalim.or.kr/,saramin
㈜테스,이재호/주재영,비서,hites@greetinghr.com,https://hites.career.greetinghr.com/,saramin
(주)브이에어로스페이스,조범동,비서,global@vspacecompany.com,https://vspacecompany.com/,saramin
(주)태신아이앤디,이승준,비서,taeshin4420@naver.com,http://www.taeshinind.com,saramin
법무법인와이케이,강경훈/김범한,비서,2sharoni@yklaw.net,https://www.yklawfirm.co.kr,saramin
(주)큐로셀,김건수,정부지원사업 관리,contact@curocellbtx.com,http://www.curocellbtx.com,saramin
(주)셀아이콘랩,성민규,정부지원사업 관리,khb0425@celliconlab.com,http://www.celliconlab.com,saramin
(사)대한전기협회,김동철,정부지원사업 관리,reg@wce.or.kr,http://www.kea.kr,saramin
(주)타임게이트,신승호,정부지원사업 관리,timegate@timegate.or.kr,http://www.time-gate.com,saramin
(주)해비치씨앤씨,장종현,정부지원사업 관리,stsjjh@haevichi.pro,http://haevichi.pro,saramin
(주)마크클라우드,정상일,정부지원사업 관리,info@markcloud.co.kr,http://markcloud.co.kr,saramin
(주)디엑스솔루션즈,김종인,정부지원사업 관리,dx_sales@dx-solutions.co.kr,http://www.dx-solutions.co.kr/,saramin
(주)한진,노삼석,정부지원사업 관리,sample@email.tst,http://www.hanjin.com/kor/Main.do,saramin
수원대학교산학협력단,이유현,연구비 관리,shy2607@suwon.ac.kr,http://iuc.suwon.ac.kr,saramin
(주)에프알티로보틱스,장재호,연구비 관리,marketing@frtrobotics.com,http://www.frtrobotics.com/,saramin
(주)피앤지바이오메드,성원기,연구비 관리,contact-us@pngbiomed.com,http://www.pngbiomed.com,saramin
(주)휴먼에이스,고성호,연구비 관리,humanase@humanase.co.kr,http://www.humanase.co.kr,saramin
(주)솔루션엑스,최세완,연구비 관리,info.solutionx@solutionx.co.kr,https://www.solutionx.co.kr,saramin
(주)에어로코텍,최주영,연구비 관리,baejy92@cotec.co.kr,http://www.aerocotec.co.kr,saramin
라온피플(주),이석중,연구비 관리,service@laonpeople.com,http://www.laonpeople.com/,saramin
포항공과대학교,김성근,연구비 관리,webmaster@postech.ac.kr,http://www.postech.ac.kr,saramin
(주)리스페이스컴퍼니,여동인,인사,business@respace.co.kr,https://www.respace.co.kr,saramin
(주)피쉬데이,김홍일,인사,fishday9292@naver.com,http://www.fishday.co.kr,saramin
(주)제이엔에스,이종관,인사,main@jns2002.co.kr,http://www.jns2002.co.kr,saramin
(주)컬리넥스트마일,이보영,인사,kurlynextmile@kurlynextmile.com,http://www.kurlynextmile.com,saramin
(주)노드메이슨,구자풍,인사,domesticsales@nordmason.com,http://www.huxley.co.kr,saramin
(주)원익로보틱스,김학래,인사,robotics.biz@wonik.com,http://www.wonikrobotics.com,saramin
의료법인 서울효천의료재단 에이치플러스양지병원,김철수,인사,doctors@newyjh.com,http://www.newyjh.com,saramin
(주)이브릿지,박재현,인사,hr@ebridge.co.kr,http://www.ebridge.co.kr,saramin
㈜쓰리디에이펙스,손정우,경리,apex3d@naver.com,http://www.3dapex.co.kr,jobkorea
인천국제공항보안㈜,이동현,경리,clean@airportsc.kr,http://airportsc.kr/,jobkorea
㈜알파큐,유라혜,경리,alphaq@alphaq.co.kr,http://alphaq.co.kr,jobkorea
일진전기(주),,총무,choonghwan.kim@iljin.co.kr,http://www.iljinelectric.co.kr,jobkorea
아이지에스㈜,이기현,총무,info@marvelworks.kr,http://www.gsi2008.com,jobkorea
삼정펄프 ㈜,전성오,총무,jane@janedoe.com,http://www.sjpulp.com,jobkorea
메타넷디지털㈜,이창열/정일,총무,job@metanet.co.kr,http://www.metanetglobal.com,jobkorea
㈜휴머니아,서철수,비서,humania3@naver.com,http://www.humania.co.kr,jobkorea
㈜성지알펙스,이상준,비서,info@sungjigroup.com,http://sungjialfex.com,jobkorea
지속가능발전경영센터㈜,이상민,과제비 관리,gy_032495@k-sdmi.co.kr,http://www.k-sdmi.co.kr,jobkorea
㈜그린플러스,박영환/정순태,과제비 관리,greenplus@greenplus.co.kr,http://www.greenplus.co.kr,jobkorea
㈜엘케이,,과제비 관리,admin@lkengineering.co.kr,http://www.lkengineering.co.kr,jobkorea
㈔한국산업기술협회,최명기,과제비 관리,info@kitanet.or.kr,http://www.kitanet.or.kr,jobkorea
인사이드아웃사회적협동조합,김성진,정부지원사업 관리,admin@brandlogo.com,https://insideout.or.kr/,jobkorea
아우토크립트㈜,이석우/김덕수,정부지원사업 관리,recruit@autocrypt.io,https://www.autocrypt.co.kr,jobkorea
㈜인투알,백은기,정부지원사업 관리,sales@intor.kr,http://www.intor.kr,jobkorea
서울대학교 항공우주신기술연구소,김종암,연구비 관리,iaat@snu.ac.kr,http://iaat.snu.ac.kr,jobkorea
디알텍,안성현,연구비 관리,drtech@drtech.com,http://www.drtech.co.kr,jobkorea
㈜한국클라우드,김현겸,연구비 관리,helpdesk@hkcloud.co.kr,http://www.hkcloud.co.kr/,jobkorea
리뉴피플㈜,김종훈,인사,master@renewpeople.co.kr,http://www.renewpeople.co.kr,jobkorea
아이헤이트플라잉버그스,박찬용,경영지원,recruit@ihateflyingbugs.com,https://careers.mildang.kr/,wanted
(주)인디고,박대원,경영지원,master@indigo-inc.co.kr,http://indigo-inc.co.kr,saramin
티더블유브이(주),김경순,경영지원,info@twv.kr,https://www.twv.kr/,saramin
(주)엠서클,정윤미/이찬란,경영지원,answer@mcircle.biz,https://www.mcircle.co.kr/,saramin
농업회사법인밭(주),이미소,경영지원,business@batt-corp.com,https://www.batt-corp.com/,saramin
(주)디라이트파트너,이훈석,경영지원,lkw@d-light.co.kr,http://www.d-light.co.kr,saramin
모두닥(주),안무혁,경영지원,info@modoodoc.com,https://www.modoodoc.com,saramin
주식회사 알씨,,경영지원,rc6369@chol.com,http://www.rcsnc.co.kr,saramin
(주)더아이엠,권영상,경영지원,contact@iamkbeauty.com,https://theim-corp.com/,saramin
(주)엘엠티코리아,박선영,경영지원,lmtkorea@lowenstein.co.kr,http://www.lowenstein.co.kr,saramin
(유)그랑핸드,정준혁,경영지원,hello@granhand.com,http://granhand.com,saramin
(주)스타일딜리셔스,김태건,경영지원,recruit@suitfabric.co.kr,https://styledelicious.ninehire.site/,saramin
(주)에이치엠에스씨,안종환,경영지원,hmsc73@naver.com,http://hmsc.co.kr,saramin
(주)이안에프엔씨,김신영,경영지원,support@cre.ma,https://m.2an.co.kr/,saramin
(주)스푼디자인,이유정,경리,roup@naver.com,http://spoondesign.kr,saramin
(주)엘보른,도은진,경리,info@elborn.kr,http://www.elborn.kr/,saramin
창비건설(주),이현승,경리,contact@changvi.co.kr,http://www.changvi.com,saramin
(주)노바코스,나승인/조성윤,경리,novacos123@gmail.com,http://www.novacos.co.kr,saramin
대진휀스(주),김태오,총무,daejin@daejin.co.kr,http://www.daejin.co.kr,saramin
주식회사 스타스테크,양승찬,총무,starstechad@starstech.co.kr,http://www.starstech.co.kr,saramin
(주)이엠코,조한재,총무,admin@emko.co.kr,http://emko.co.kr,saramin
(주)우신머티리얼즈,박세진/화진권,총무,sales1@wooshin.co.kr,http://wooshin.co.kr/sub01_7.html,saramin
아신유니텍(주),유재경,총무,admin@ashin.kr,http://ashin.kr,saramin
(주)에이플,한성호,총무,sh.han@aipl.co.kr,http://www.aipl.co.kr,saramin
농업회사법인 호정식품(주),,총무,hojeong@hojeong.kr,http://www.hojeongfood.com,saramin
(주)휴런,신동훈,총무,info@iheuron.com,http://www.iheuron.com,saramin
법무법인지음,김설이/김현종/이호영,비서,kye0218@hankyung.com,http://jieumlaw.com/,saramin
법무법인새별,안성열,비서,lawfirmakpartners@gmail.com,http://xn--bm3bl7e.kr/,saramin
(주)크리비즈,김수철,비서,all@creabiz.co.kr,http://www.creabiz.co.kr,saramin
대구한의대학교산학협력단,황세진,정부지원사업 관리,0231am@dhu.ac.kr,http://iacf.dhu.ac.kr,saramin
(주)영진에스지,서승구,정부지원사업 관리,motioncare5@naver.com,http://www.yjmotor.co.kr,saramin
포항공대가속기연구소,,정부지원사업 관리,plsbl@postech.ac.kr,http://pal.postech.ac.kr,saramin
동아대학교산학협력단,김성재,정부지원사업 관리,chajy0626@dau.ac.kr,http://research.donga.ac.kr,saramin
(주)페이타랩,곽수용,정부지원사업 관리,recruit@paytalab.com,https://recruit.passorder.co.kr/,saramin
(주)피코팩,오근영,정부지원사업 관리,cs@picopack.co.kr,http://www.picopack.co.kr,saramin
제이플미디어(주),김주형,정부지원사업 관리,jplusmedia@hanmail.net,http://www.jayplemedia.com,saramin
(주)오너클랜,김기명,정부지원사업 관리,ocrecruit@ownerclan.com,http://www.ownerclan.com,saramin
"한국건강관리협회 충청북도, 세종특별자치시지부",,정부지원사업 관리,kwon5834@kahp.or.kr,http://www.kahp.or.kr,saramin
한국클라우드산업협회,,정부지원사업 관리,cloud_cert@kcloud.or.kr,http://kcloud.or.kr,saramin
(주)아쎄따,김형준,정부지원사업 관리,assetta@assetta.kr,http://assetta.co.kr,saramin
(주)엔픽셀,배봉건/정현호,정부지원사업 관리,recruit@npixel.co.kr,https://www.npixel.co.kr/,saramin
(사) 한국건강관리협회울산광역시지부,김인원,정부지원사업 관리,kwon5834@kahp.or.kr,http://www.kahp.or.kr,saramin
한국건강관리협회 대구지부,채종일,정부지원사업 관리,kwon5834@kahp.or.kr,http://www.kahp.or.kr,saramin
(주)구디,이승엽,정부지원사업 관리,0jsj@goodee.co,http://www.gdu.co.kr,saramin
(주)아이콘엑스,최원석,연구비 관리,contact@iconx.co.kr,https://www.iconx.co.kr/,saramin
케이마쉬(주),최영인,연구비 관리,keimash@naver.com,http://www.keimash.com,saramin
(주)엘로이랩,유광선,연구비 관리,elroilab@elroilab.com,http://elroilab.com/,saramin
(주)비스토스,이선종,연구비 관리,info@bistosamerica.com,http://www.bistos.co.kr,saramin
(주)앤로보틱스,김종서,연구비 관리,bin@hjfm.co.kr,http://www.hjfm.co.kr,saramin
(주)이플로우,윤수한,연구비 관리,news2349@newspim.com,https://www.eflow.kr,saramin
(주)에임드,임형철,인사,contact@aimed.xyz,https://aimed.xyz,saramin
(주)실리만,김성태/김창호,인사,sillymann@sillymann.com,https://www.sillymann.co.kr,saramin
아우토크립트(주),이석우/김덕수,인사,recruit@autocrypt.io,https://www.autocrypt.co.kr,saramin
(주)씨유기획,박창언,인사,admin@cu-ad.co.kr,http://www.cu-ad.co.kr,saramin
(주)제이숲,박대식,인사,jsoop@jsoop.co.kr,https://career.jsoop.co.kr,saramin
(주)모노글로트홀딩스,유양희,인사,export@elroel.com,http://elroel.com,saramin
(주)본에스티스,,인사,info@vonestis.com,http://www.vonestis.com,saramin
(주)씨앤,박상용,인사,cn@cncorp.kr,http://www.cncorp.kr,saramin
(주)에스알,강대권/강춘기,인사,sr20kjp27shm25@mysr.co.kr,http://www.sr.co.kr,saramin
㈜삼오제약,오성석/오장석,인사,email35@samohpharm.co.kr,http://www.samohpharm.com,saramin
(주)이투어리즘,이희,인사,info@koreaetour.com,http://www.koreaetour.com,saramin
(주)큐브바이오,김재명,인사,cubebio@cubebio.co.kr,http://cubebio.co.kr/,saramin
원엠글로벌(주),중화인민공화국인 주잉밍,인사,1mglobalhy@naver.com,https://1mglobal.com/,saramin
㈜엔픽셀,배봉건/정현호,경영지원,recruit@npixel.co.kr,https://www.npixel.co.kr/,jobkorea
한솔로지스틱스㈜,고정한,경영지원,boram.choi@hansol.com,http://www.hansollogistics.com,jobkorea
뱅크웨어글로벌㈜,이경조/이은중,총무,contact@bankwareglobal.com,http://www.bankwareglobal.com,jobkorea
㈜제놀루션,김기옥/김민이,총무,sales@genolution1.com,http://kr.genolution.co.kr/,jobkorea
국가유산진흥원,이귀영,총무,seojy@kh.or.kr,http://www.chf.or.kr,jobkorea
㈜피엔티,김준섭,총무,met4821@epnt.co.kr,http://www.epnt.co.kr,jobkorea
현대에이치티㈜,이건구,총무,ht_info@hyundaiht.co.kr,http://www.hyundaiht.co.kr,jobkorea
㈜픽소니어,윤종식,총무,support@pixoneer.co.kr,http://www.pixoneer.co.kr,jobkorea
주식회사 사람과기술,이양순,비서,recruit@winitech.com,http://www.winitech.com,jobkorea
원리테일㈜,김동진,과제비 관리,hr.uae@one-rx.com,http://www.one-rx.com,jobkorea
㈜이포트,오성준,연구비 관리,info@e-port.co.kr,http://www.e-port.co.kr,jobkorea
㈜피앤지바이오메드,성원기,연구비 관리,contact-us@pngbiomed.com,http://www.pngbiomed.com,jobkorea
누비랩,김대훈,경영지원,contact@nuvilab.com,http://www.nuvilab.com,wanted
(주)아이엑스엠,배현숙,경영지원,admin@ixm.co.kr,http://www.ixm.co.kr,saramin
(주)에이치투커뮤니케이션즈,송민철,경영지원,h2ent@naver.com,http://www.h2ent.co.kr,saramin
(주)멘토스,김두환,경영지원,mentos@mentoss.co.kr,http://www.mentoss.co.kr,saramin
(주)스피커,전미경,경영지원,contact@jongkimdesign.com,http://speeker.co.kr/,saramin
(주)비앤케이,김영훈,경영지원,contact@koreahnb.com,http://www.barulab.com,saramin
(주)루너프옥토,박수진,경영지원,support@cre.ma,http://loonough.com/,saramin
대한이연(주),이택성,경영지원,dhly@daehanly.com,https://www.daehanly.com/,saramin
(주)비엠제이컴퍼니,김미경,경리,sina_company@naver.com,http://www.bmj-company.com/,saramin
(주)비오랩,박종민,경리,iheal.official@gmail.com,http://www.iheal.co.kr,saramin
DAWON,강민성,경리,dawonplan@naver.com,http://www.dawonstudio.com,saramin
한신공영(주),최문규/전재식,경리,160419@hanshinc.com,http://www.hanshinc.com,saramin
아이리움안과의원,강성용,총무,eyereum@eyereum.com,http://eyereum.com,saramin
(주)아리온,,총무,info@mysite.com,https://www.arionflight.com/,saramin
(주)바이오컴,전태준/정희용,총무,marketing@biocom.kr,http://biocom.kr,saramin
이든보험중개(주),강재구,총무,eden@edenins.co.kr,http://www.edenins.co.kr,saramin
㈜동운아나텍,김동철,비서,dw_sales@dwanatech.com,http://www.dwanatech.com,saramin
(주)케이피텍,백우순/백종두,비서,contact@kp-tech.co.kr,https://www.kptech.kr,saramin
사단법인희망조약돌,이재원,정부지원사업 관리,hopejoyagdol@joyagdol.com,http://www.joyagdol.com,saramin
(주)케미콘,임동한,정부지원사업 관리,chemicon@chemicon.co.kr,http://www.chemicon.co.kr,saramin
(재)과학기술보안관리단,오덕환,정부지원사업 관리,kimhc@sts.or.kr,http://sts.or.kr,saramin
(주)싸이터,조용현,정부지원사업 관리,info@cytur.net,https://www.cytur.net,saramin
(주)오피지지,최상락,정부지원사업 관리,recruit@op.gg,http://opgg.team,saramin
에스피앤지(주),이정림,정부지원사업 관리,tax@spng.kr,https://www.spng.kr,saramin
(주)디에이치오토웨어,문경호,정부지원사업 관리,mj0116@dseltec.co.kr,http://www.dhautoware.co.kr,saramin
인아트,엄태헌,정부지원사업 관리,inart@inart.co.kr,http://www.inartshop.com/,saramin
(주)로볼루션,윤경석,연구비 관리,rovolution@rovolution.co.kr,http://www.rovolution.co.kr,saramin
쿤텍(주),방혁준,연구비 관리,marketing@coontec.com,http://www.coontec.com,saramin
킨더슐레교육재단,김은경,인사,--kindercare1@hanmail.net,http://www.kindercare.kr,saramin
(주)트리즈,,인사,contact@treeze-eng.com,http://www.treeze-eng.com,saramin
(주)크로커스,임다니엘지섭,인사,bmw8034@nate.com,http://crocus.ai,saramin
(주)대승,김장송/정세민/윤기옥/이승후,인사,kjh@dae-seung.co.kr,http://www.dae-seung.co.kr,saramin
이상한마케팅(주),송명진,인사,help@isanghan.co.kr,http://isanghan.co.kr/,saramin
(주)에이치에스오퍼레이션,권태혁,인사,help@hsoperation.com,https://hsoperation.com/,saramin
(주)라이즈에듀케이션코리아,박형준,인사,ma@risekorea.com,http://www.risekorea.com,saramin
(주)타이드플로,차명건,인사,support@tideflo.com,http://www.tideflo.com,saramin
크레비스파트너스,김재현,경영지원,info@crevisse.com,http://www.crevisse.com,jobkorea
㈜하모,박경주,경리,admin@hamo-kitchen.com,http://hamo-kitchen.com,jobkorea
동우개발,안이재,경리,dongwoodh@hanmail.net,http://www.dwgroup.co.kr/,jobkorea
㈜소룩스,정재준,총무,kkn@solux.co.kr,http://www.solux.co.kr,jobkorea
무림피앤피㈜,이도균,총무,moorim@moorim.co.kr,http://www.moorim.co.kr,jobkorea
㈜잇츠한불,임진성,비서,hbga@itshanbul.com,http://itshanbul.com,jobkorea
법무법인(유한)대륜,고병준/김국일/박동일/최이선,비서,bkly477@asiae.co.kr,https://www.daeryunlaw.com,jobkorea
㈜휴먼코아,김진석,비서,huco@huco.co.kr,http://www.huco.co.kr,jobkorea
리드커리어㈜,오제석,비서,hr@leadcareer.co.kr,http://www.leadcareer.co.kr,jobkorea
㈜창소프트아이앤아이,,과제비 관리,admin@chang-soft.com,http://www.chang-soft.com,jobkorea
유니온전자통신,김태우/서정준/전성열,정부지원사업 관리,overseas@unionelecom.co.kr,http://www.unionelecom.co.kr,jobkorea
㈜알머스,김상용/유우석,인사,sales@anymode.com,https://anymode.com/,jobkorea
(주)명성인토피아,안범선,경영지원,myungsung_int@naver.com,http://msint.kr,saramin
젯아이씨(주),김홍,경영지원,hipark2503@zic-westwood.co.kr,http://westwoodmall.co.kr/,saramin
올릭스(주),이동기,경영지원,recruit@olixpharma.com,http://www.olixpharma.com,saramin
(주)정진하이테크,정태경,경영지원,jj001@jungjin.co.kr,http://www.jungjin.co.kr,saramin
(주)프라임엔시스템,김병래,경영지원,primen@primen.co.kr,http://www.primen.co.kr,saramin
(주)제니엘이노베이션,김용석,경영지원,zeniel@zeniel.co.kr,http://www.zenielinnovation.co.kr,saramin
에스엠지홀딩스(주),김불경/최준석,경영지원,jna2417w@smg-h.com,http://smg-h.com,saramin
제이에스테크(주)구미,김민강,경영지원,jstech@jeilseishin.co.kr,http://jeilseishin.co.kr,saramin
에너진주식회사,황인기,경영지원,info@energyn.com,http://www.energyn.com,saramin
예맛상사(주),권윤택/장은애,경리,sales@yemat1004.com,http://www.yemat.com/,saramin
(주)신화로직스,박해광,경리,sls@slstrans.com,http://shinhwalogics.com/,saramin
세일전기(주),정성원,경리,recruiting@stylemixthemes.com,http://seillighting.com,saramin
(주)다우밸브,박상기/박의균,경리,sales@dowvalve.co.kr,http://www.dowvalve.co.kr,saramin
