기업명,대표자명,공고 키워드,이메일,홈페이지,출처
경희사이버대학교,조인원,경영지원,counsel@khcu.ac.kr,http://www.khcu.ac.kr,jobkorea
중고명품판매 어포드,김한준,경리,enquiry@jejudreamtower.com,https://www.jejudreamtower.com/,jobkorea
㈜에코카,전희영,"경리, 과제비 관리",sales@ecocar.co.kr,http://www.ecocar.co.kr,jobkorea
㈜주아코리아,이동우,경리,info@jooakorea.com,http://www.jooakorea.com,jobkorea
성우밸브텍,김한준,경리,enquiry@jejudreamtower.com,https://www.jejudreamtower.com/,jobkorea
㈜아트코리아,우석기,경리,info@artmu.co.kr,http://www.artmu.co.kr,jobkorea
우아한에프앤비(F&B),김한준,경리,enquiry@jejudreamtower.com,https://www.jejudreamtower.com/,jobkorea
구호스튜디오,조재용,경리,goobzee@naver.com,http://www.gost.co.kr,jobkorea
판테온커피,김한준,경리,enquiry@jejudreamtower.com,https://www.jejudreamtower.com/,jobkorea
㈜아스타아이비에스,임만규,경리,astaibs.cleaning@astaibs.net,http://www.astaibs.co.kr,jobkorea
㈜에즈금융서비스,이태형,총무,az.rk@azfns.com,http://www.azfinancial.co.kr/,jobkorea
에이케이플라자㈜애경그룹,김한준,총무,enquiry@jejudreamtower.com,https://www.jejudreamtower.com/,jobkorea
대구경북과학기술원,이건우,총무,webmaster@dgist.ac.kr,http://www.dgist.ac.kr,jobkorea
㈜유니드OCI그룹,김한준,총무,enquiry@jejudreamtower.com,https://www.jejudreamtower.com/,jobkorea
금성에이스산업㈜,배상원/배점규,총무,gsaceshop@gsace.com,http://www.gsace.com,jobkorea
㈜샤프에비에이션케이,백순석,비서,sharp@sharp.co.kr,http://www.sharp.co.kr,jobkorea
㈜코스메디크,김한준,비서,enquiry@jejudreamtower.com,https://www.jejudreamtower.com/,jobkorea
㈜스타쉽엔터테인먼트카카오그룹,김한준,비서,enquiry@jejudreamtower.com,https://www.jejudreamtower.com/,jobkorea
㈜엠제이플렉스,김시출,비서,helper@mjplex.co.kr,http://www.mjplex.co.kr,jobkorea
㈜제니엘,박춘홍,비서,zeniel@zeniel.co.kr,http://www.zeniel.com,jobkorea
㈔서울시관광협회,조태숙,비서,sta1961@sta.or.kr,http://www.sta.or.kr,jobkorea
주식회사 성진글로벌,양봉기,비서,leesoonju78@naver.com,http://suyoungfood.com,jobkorea
피피에이치알,김한준,비서,enquiry@jejudreamtower.com,https://www.jejudreamtower.com/,jobkorea
로띠번코리아,박정은,과제비 관리,rottibun_kr@naver.com,http://rottibun.com,jobkorea
㈜케이에스오토플랜 퍼스트지점,김한준,과제비 관리,enquiry@jejudreamtower.com,https://www.jejudreamtower.com/,jobkorea
㈜맥풍,김한준,과제비 관리,enquiry@jejudreamtower.com,https://www.jejudreamtower.com/,jobkorea
㈜한결티오스,김한준,과제비 관리,enquiry@jejudreamtower.com,https://www.jejudreamtower.com/,jobkorea
㈜이동의즐거움롯데그룹,김한준,과제비 관리,enquiry@jejudreamtower.com,https://www.jejudreamtower.com/,jobkorea
다겸㈜,서원겸,과제비 관리,cs@dagyeom.com,http://dagyeom.com,jobkorea
㈜와이즈웰니스,,과제비 관리,info@accesspressthemes.com,http://www.wisewellness.co.kr,jobkorea
㈜글로벌디펜스,김수경,과제비 관리,gdi@globaldefense.co.kr,http://www.globaldefense.co.kr/,jobkorea
㈜글로벌엔지니어링,김현규,과제비 관리,admin@globalsystems.co.kr,http://www.globaleng.co.kr,jobkorea
㈜메타씨앤아이,정민철/유스코트승문,과제비 관리,sales@metacni.com,http://www.metacni.com,jobkorea
㈜에이아이스페라,강병탁,과제비 관리,support@aispera.com,https://aispera.com/,jobkorea
람다이노비전㈜,김한준,과제비 관리,enquiry@jejudreamtower.com,https://www.jejudreamtower.com/,jobkorea
(주)비츠로일렉트릭,유병언/장택수,과제비 관리,god7205190@vitzrotech.com,https://vitzroelectric.com/,jobkorea
㈜에스알포스트,김한준,과제비 관리,enquiry@jejudreamtower.com,https://www.jejudreamtower.com/,jobkorea
㈜해줌,권오현,과제비 관리,service@haezoom.com,http://haezoom.com/,jobkorea
㈜서플러스글로벌,김정웅,과제비 관리,parts@surplusglobal.com,http://www.surplusglobal.com,jobkorea
㈜아리아스튜디오,,정부지원사업 관리,info@showaria.com,http://showaria.com,jobkorea
글로벌소프트웨어캠퍼스㈜,김성우,정부지원사업 관리,help@gscampus.net,http://www.gscampus.net,jobkorea
에스유엠,현영진,정부지원사업 관리,sum@smobi.ai,http://www.smobi.ai,jobkorea
㈜나비프라,박중태,정부지원사업 관리,cofounder@navifra.com,https://navifra.com/,jobkorea
㈜25도씨,김한준,정부지원사업 관리,enquiry@jejudreamtower.com,https://www.jejudreamtower.com/,jobkorea
㈜폴라리스오피스,지준경,정부지원사업 관리,info@selvas.com,https://www.polarisofficecorp.com/,jobkorea
㈜니더,신현식,연구비 관리,support@gubgoo.com,http://www.gubgoo.com,jobkorea
㈜크라운와이즈(crown wise),김한준,연구비 관리,enquiry@jejudreamtower.com,https://www.jejudreamtower.com/,jobkorea
㈜네이처프라임,김대중,연구비 관리,info@nprime.co.kr,http://www.natureprime.co.kr,jobkorea
㈜메타엠,임은택,"연구비 관리, 인사",mcc_ombudsman@meta-m.co.kr,http://www.meta-m.co.kr,jobkorea
와이즈넛,강용성,연구비 관리,sales@wisenut.co.kr,http://www.wisenut.com,jobkorea
메디코스바이오텍,김순철/유원민,연구비 관리,medicosbiotech@gmail.com,http://www.medicosbiotech.com,jobkorea
(재) 한국의학연구소,이광배,연구비 관리,webmaster@kmi.or.kr,https://www.kmi.or.kr,jobkorea
환인제약㈜,이광식/이원범,연구비 관리,anna@whanin.com,http://www.whanin.com,jobkorea
광주과학기술원,임기철,연구비 관리,humanrights@gist.ac.kr,http://www.gist.ac.kr,jobkorea
트윈켐,황길택,연구비 관리,admin@twinchem.net,http://www.twinchem.net,jobkorea
메가존클라우드㈜,이주완,연구비 관리,cloud@megazone.com,http://www.megazone.com/,jobkorea
㈜지씨셀,김한준,연구비 관리,enquiry@jejudreamtower.com,https://www.jejudreamtower.com/,jobkorea
금호건설㈜금호아시아나그룹,김한준,인사,enquiry@jejudreamtower.com,https://www.jejudreamtower.com/,jobkorea
롯데멤버스㈜롯데그룹,김한준,인사,enquiry@jejudreamtower.com,https://www.jejudreamtower.com/,jobkorea
웍스피어(유),김한준,인사,enquiry@jejudreamtower.com,https://www.jejudreamtower.com/,jobkorea
유베이스,목진원,인사,hr_pay@ubase.co.kr,http://www.ubase.co.kr,jobkorea
주식회사스마일게이트,성준호,인사,info_sgpus@smilegate.com,http://www.smilegate.com,jobkorea
